"Categories","Diseases or Functions Annotation","p-value","Molecules","# Molecules"
"Small Molecule Biochemistry","Metabolism of cisapride",0.0189,"CYP2A6 (includes others)",1
"Cancer,Cellular Response to Therapeutics,Organismal Injury and Abnormalities","Doxorubicin resistance of carcinoma cell lines",0.0189,"CSAG2/CSAG3",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Stage II small B-cell lymphocytic lymphoma",0.0189,"KRT20",1
"Amino Acid Metabolism,Molecular Transport,Small Molecule Biochemistry","Quantity of valine",0.0189,"CA9",1
"Cancer,Developmental Disorder,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Stage III indolent marginal zone cell lymphoma",0.0189,"KRT20",1
"Amino Acid Metabolism","Quantity of asparagine",0.0189,"CA9",1
"Cell Morphology","Elongation of skin cancer cell lines",0.0189,"CDH1",1
"Cardiovascular System Development and Function","Formation of capillary network",0.0189,"CHGA",1
"Connective Tissue Disorders,Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities","Autosomal recessive recessive epidermolysis bullosa dystrophica",0.0189,"MMP1",1
"Tissue Morphology","Quantity of embryonic cancer cell lines",0.0189,"LINC00261",1
"Drug Metabolism,Small Molecule Biochemistry","Metabolism of halothane",0.0189,"CYP2A6 (includes others)",1
"Developmental Disorder,Organismal Injury and Abnormalities,Respiratory Disease","Congenital cystic adenomatoid malformation",0.0189,"CDH1",1
"Organismal Injury and Abnormalities,Respiratory Disease","Respiratory distress syndrome of the newborn",0.0189,"NKX2-1",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Stage III lymphoplasmacytic lymphoma",0.0189,"KRT20",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Grade 1 small B-cell lymphocytic lymphoma",0.0189,"KRT20",1
"Organismal Injury and Abnormalities,Respiratory Disease,Skeletal and Muscular Disorders","Hiccup",0.0189,"GABBR2",1
"Carbohydrate Metabolism,Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry","Transport of lipopolysaccharide",0.0189,"LBP",1
"Neurological Disease,Skeletal and Muscular Disorders","Severe muscle spasticity",0.0189,"GABBR2",1
"Cell Cycle","Entry into S phase of pancreatic cancer cell lines",0.0189,"MSLN",1
"DNA Replication, Recombination, and Repair,Nucleic Acid Metabolism,Small Molecule Biochemistry","Metabolism of thymidine",0.0189,"GLDC",1
"Cellular Movement,Nervous System Development and Function","Guidance of motor axons",0.0189,"SLIT1",1
"Organismal Injury and Abnormalities","Chronic shoulder pain",0.0189,"SCN1A",1
"Cell Morphology","Elongation of colorectal cancer cell lines",0.0189,"CDH1",1
"Cancer,Developmental Disorder,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Grade 1 indolent marginal zone cell lymphoma",0.0189,"KRT20",1
"Cancer","Tumorsphere formation by bladder cancer cell lines",0.0189,"LIN28B",1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Severe myoclonic epilepsy borderline",0.0189,"SCN1A",1
"Cellular Compromise","Injury of carcinoma cell lines",0.0189,"PI3",1
"Cell-To-Cell Signaling and Interaction,Renal and Urological System Development and Function","Dissociation of kidney cell lines",0.0189,"CCKBR",1
"Drug Metabolism,Small Molecule Biochemistry","Metabolism of nicotine",0.0189,"CYP2A6 (includes others)",1
"Amino Acid Metabolism,Molecular Transport,Small Molecule Biochemistry","Quantity of L-proline",0.0189,"CA9",1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Generalized epilepsy with febrile seizures plus type 1",0.0189,"SCN1A",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities,Tumor Morphology","Progressive lymphoplasmacytic lymphoma",0.0189,"KRT20",1
"Cell-To-Cell Signaling and Interaction","Clustering of colorectal cancer cell lines",0.0189,"CDH1",1
"Developmental Disorder,Gastrointestinal Disease,Hepatic System Disease,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities","Crigler-Najjar syndrome type 1",0.0189,"UGT1A6",1
"Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization","Compaction of stomach cancer cell lines",0.0189,"CDH1",1
"Nucleic Acid Metabolism,Small Molecule Biochemistry","Metabolism of cytosine",0.0189,"GLDC",1
"Cell Cycle,Renal and Urological System Development and Function","Mitogenesis of mesangial cells",0.0189,"CXCL10",1
"Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization","Formation of cell-matrix contacts",0.0189,"CDH1",1
"Small Molecule Biochemistry","Efficacy of irinotecan",0.0189,"UGT1A9 (includes others)",1
"Neurological Disease","Clonus",0.0189,"GABBR2",1
"Cell Morphology,Hematological System Development and Function,Hematopoiesis","Polarization of hematopoietic progenitor cells",0.0189,"CXCL10",1
"Cell Morphology,Cellular Compromise","Multinucleation of colorectal cancer cell lines",0.0189,"UBD",1
"Cellular Development,Embryonic Development,Organ Development,Organismal Development,Reproductive System Development and Function,Tissue Development","Differentiation of mammary epithelial cells",0.0189,"EN1",1
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease","HER2 non-overexpressing breast carcinoma",0.0189,"MAGEA4",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Grade 2 small B-cell lymphocytic lymphoma",0.0189,"KRT20",1
"Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities,Renal and Urological Disease","Primary hyperoxaluria type I",0.0189,"HAO1",1
"Cell-To-Cell Signaling and Interaction","Aggregation of stomach cancer cell lines",0.0189,"CDH1",1
"Cellular Development","Epithelial-mesenchymal transition of skin cancer cell lines",0.0189,"CDH1",1
"Cell Morphology,Nervous System Development and Function","Innervation",0.0189,"POU4F1",1
"Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities","Nonmedullary thyroid carcinoma type 1",0.0189,"NKX2-1",1
"Cancer,Developmental Disorder,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Grade 2 indolent marginal zone cell lymphoma",0.0189,"KRT20",1
"Molecular Transport,Nucleic Acid Metabolism,Small Molecule Biochemistry","Transport of deoxyuridine",0.0189,"SLC28A1",1
"Drug Metabolism,Endocrine System Development and Function,Lipid Metabolism,Small Molecule Biochemistry","Glucuronidation of testosterone",0.0189,"UGT2B28",1
"Cell Cycle","Entry into S phase of endothelial cell lines",0.0189,"CDH1",1
"Amino Acid Metabolism","Quantity of L-glutamine",0.0189,"CA9",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Stage II lymphoplasmacytic lymphoma",0.0189,"KRT20",1
"Cell-To-Cell Signaling and Interaction,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Detachment of corneocytes",0.0189,"PI3",1
"Cell Morphology,Cellular Function and Maintenance","Autophagy of melanoma cell lines",0.0189,"MAGEA3/MAGEA6",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Recurrent chronic lymphocytic leukemia",0.0189,"KRT20",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Grade 2 lymphoplasmacytic lymphoma",0.0189,"KRT20",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Fludarabine and alemtuzumab-refractory chronic lymphocytic leukemia",0.0189,"KRT20",1
"Neurological Disease","Flexor spasm",0.0189,"GABBR2",1
"Cellular Assembly and Organization,Cellular Function and Maintenance","Quantity of cytoneme",0.0189,"CDH1",1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Benign familial neonatal seizures 2",0.0189,"KCNQ2",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Grade 1 lymphoplasmacytic lymphoma",0.0189,"KRT20",1
"Amino Acid Metabolism,Molecular Transport,Small Molecule Biochemistry","Quantity of L-arginine",0.0189,"CA9",1
"Cellular Development,Embryonic Development","Commitment of mesodermal cells",0.0189,"TRIM15",1
"Developmental Disorder,Hereditary Disorder,Metabolic Disease,Ophthalmic Disease,Organismal Injury and Abnormalities","Hermansky-pudlak syndrome type 3",0.0189,"CP",1
"Amino Acid Metabolism","Quantity of L-tyrosine",0.0189,"CA9",1
"Carbohydrate Metabolism,Lipid Metabolism,Small Molecule Biochemistry","Transmission of lipopolysaccharide",0.0189,"LBP",1
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities","TNM stage III gastric cancer",0.0189,"TMPRSS4",1
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease","Mixed ductal lobular breast carcinoma in situ",0.0189,"CDH1",1
"Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Brugada syndrome type 8",0.0189,"HCN4",1
"Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism","Catabolism of calcifediol",0.0189,"CYP24A1",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Stage IV lymphoplasmacytic lymphoma",0.0189,"KRT20",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Grade 3A small B-cell lymphocytic lymphoma",0.0189,"KRT20",1
"Cell Morphology,Cellular Development,Cellular Growth and Proliferation","Morphogenesis of melanoma cell lines",0.0189,"CDH1",1
"Auditory Disease,Inflammatory Disease,Organismal Injury and Abnormalities","Nonsyndromic otitis media",0.0189,"A2ML1",1
"Amino Acid Metabolism,Molecular Transport,Small Molecule Biochemistry","Quantity of isoleucine",0.0189,"CA9",1
"Developmental Disorder,Hematological Disease,Hereditary Disorder,Immunological Disease,Organismal Injury and Abnormalities","Congenital hypodysfibrinogenemia",0.0189,"FGA",1
"Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Hair/nail type ectodermal dysplasia type 4",0.0189,"KRT85",1
"Cell-To-Cell Signaling and Interaction","Aggregation of melanoma cell lines",0.0189,"CDH1",1
"Small Molecule Biochemistry","Glucuronidation of bilirubin",0.0189,"UGT1A9 (includes others)",1
"Cardiovascular Disease,Organismal Injury and Abnormalities","Sinus-node dysfunction",0.0189,"HCN4",1
"Cell Signaling,Cellular Function and Maintenance,Small Molecule Biochemistry,Vitamin and Mineral Metabolism","Calcium homeostasis of cells",0.0189,"CXCL10",1
"Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities","Coumarin resistance",0.0189,"CYP2A6 (includes others)",1
"Cellular Movement","Scattering of adenocarcinoma cell lines",0.0189,"CDH1",1
"Cancer,Developmental Disorder,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Grade 3A indolent marginal zone cell lymphoma",0.0189,"KRT20",1
"Dermatological Diseases and Conditions,Hereditary Disorder,Organismal Injury and Abnormalities","Focal nonepidermolytic palmoplantar keratoderma type 1",0.0189,"KRT6C",1
"Hair and Skin Development and Function","Catagen",0.0189,"GAL",1
"Drug Metabolism,Small Molecule Biochemistry","Glucuronidation of acetaminophen",0.0189,"UGT1A6",1
"Cellular Development,Nervous System Development and Function,Tissue Development","Differentiation of neural-like cells",0.0189,"EN1",1
"Cellular Development,Tissue Development","Differentiation of hippocampal cells",0.0189,"CDK5R2",1
"Cancer,Endocrine System Disorders,Gastrointestinal Disease,Organismal Injury and Abnormalities","Moderately differentiated malignant pancreatic tumor",0.0189,"CDH1",1
"Drug Metabolism,Molecular Transport,Nucleic Acid Metabolism,Small Molecule Biochemistry","Transport of floxuridine",0.0189,"SLC28A1",1
"Cellular Compromise","Injury of lung cancer cell lines",0.0189,"PI3",1
"Cellular Assembly and Organization,Neurological Disease,Organismal Development,Tissue Development","Delay in formation of amyloid fibrils",0.0189,"SFTPC",1
"Amino Acid Metabolism,Molecular Transport,Small Molecule Biochemistry","Quantity of L-histidine",0.0189,"CA9",1
"Cancer,Developmental Disorder,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Stage II indolent marginal zone cell lymphoma",0.0189,"KRT20",1
"Digestive System Development and Function,Gastrointestinal Disease,Hepatic System Development and Function,Hepatic System Disease,Inflammatory Disease,Inflammatory Response,Organ Development,Organismal Injury and Abnormalities","Granulomatous hepatitis",0.0189,"CCL7",1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Autosomal recessive mental retardation type 48",0.0189,"SLC6A17",1
"Organismal Development","Secretion of tear",0.0189,"LACRT",1
"Cellular Movement","Cell rolling of squamous cell carcinoma cell lines",0.0189,"LY6D",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Grade 3A lymphoplasmacytic lymphoma",0.0189,"KRT20",1
"Cell Morphology,Cellular Development,Cellular Growth and Proliferation","Morphogenesis of breast cancer cell lines",0.0189,"CDH1",1
"Cell Death and Survival,Organismal Injury and Abnormalities,Renal and Urological Disease","Apoptosis of proximal tubule cells",0.0189,"CYP24A1",1
"Cardiovascular Disease,Hematological Disease,Hereditary Disorder,Organismal Injury and Abnormalities","Susceptibility to venous thromboembolism",0.0189,"FGA",1
"Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders","Post-traumatic stress disorder",0.0189,"CA6,CA9,GABRP,SCN1A",4
